its,load_time(us),get_time(us)
492,3333,27,15
493,3531,48,15
494,3341,27,14
495,3331,49,14
496,3533,53,14
497,3332,28,14
498,3437,39,12
499,3394,52,14
500,3334,26,13
501,3508,54,14
502,3332,44,14
503,3341,26,15
504,3704,60,15
505,3336,53,13
506,3523,23,13
507,3408,56,14
508,3341,48,14
509,3509,30,13
510,3327,58,14
511,3332,45,13
512,3509,32,15
513,3339,54,14
514,3531,27,15
515,3332,54,13
516,3330,51,13
517,3502,30,14
518,3326,50,14
519,3343,47,12
520,3493,31,15
521,3335,56,13
522,3546,51,13
523,3331,26,14
524,3330,50,15
525,3705,61,14
526,3332,28,14
527,3334,48,14
528,3661,57,14
529,3333,25,15
530,3486,52,14
531,3333,36,16
532,3333,49,16
533,3749,55,14
534,3328,27,14
535,3325,47,14
536,3685,58,15
537,3337,24,14
538,3596,53,14
539,3332,50,15
540,3332,27,15
541,4604,105,19
542,4580,70,17
543,4700,36,15
544,4197,52,13
545,3640,43,13
546,3327,24,13
547,3274,41,14
548,3648,48,14
549,3323,25,13
550,3284,47,49
551,3665,32,13
552,3284,45,13
553,3539,30,12
554,4627,45,19
555,4573,40,13
556,4636,72,17
557,4526,22,11
558,4656,81,19
559,4507,70,12
560,4587,41,19
561,4505,73,18
562,4666,70,19
563,3596,27,13
564,3523,55,14
565,3334,51,15
566,3331,25,14
567,3494,57,14
568,3335,26,13
569,3680,55,15
570,3327,46,15
571,3331,27,14
572,3648,63,14
573,3334,49,14
574,3331,25,14
575,3496,58,14
576,3331,47,15
577,3568,27,14
578,3326,50,13
579,3326,49,13
580,3630,33,15
581,3334,56,14
582,3342,35,12
583,3522,29,14
584,3331,51,14
585,3683,52,16
586,3332,27,13
587,3326,45,14
588,3685,34,13
589,3333,54,15
590,3364,40,13
591,4565,46,15
592,4491,90,12
593,4438,63,15
594,3399,28,15
595,3951,96,32
596,4456,70,17
597,4560,36,18
598,4548,77,20
599,4544,70,18
600,4491,34,19
601,4580,69,18
602,4590,65,17
603,4726,39,18
604,4672,125,19
605,4624,26,13
606,4619,108,18
607,4551,43,13
608,4615,38,17
609,4555,63,11
610,4634,73,18
611,4561,25,13
612,4643,77,18
613,4640,35,12
614,4575,37,19
615,4557,65,13
616,4727,75,18
617,4502,38,19
618,4643,80,20
619,4132,65,15
620,3585,28,15
621,3333,51,15
622,3541,22,13
623,3326,59,14
624,3331,50,19
625,4690,55,19
626,4588,88,18
627,4759,82,18
628,4538,37,17
629,4603,79,19
630,4491,63,18
631,4724,40,18
632,4493,71,20
633,4640,69,19
634,4538,35,17
635,4618,77,20
636,4601,68,17
637,4697,35,17
638,4526,72,19
639,4566,66,17
640,4532,36,18
641,4578,70,19
642,4540,36,18
643,4606,69,18
644,4495,66,17
645,4619,38,18
646,4504,68,18
647,4662,99,18
648,4538,37,22
649,4601,66,18
650,4514,83,18
651,4698,21,12
652,4602,74,18
653,4569,40,26
654,3374,33,13
655,3328,55,14
656,3562,53,12
657,3333,28,14
658,3333,51,14
659,3495,30,14
660,3334,53,14
661,3455,40,13
662,3334,36,14
663,3327,48,13
664,3495,52,15
665,3332,27,14
666,3355,53,14
667,3495,54,14
668,3332,25,13
669,3492,34,13
670,3334,48,14
671,3326,26,14
672,3497,54,16
673,3334,48,13
674,3333,27,15
675,3496,56,14
676,3335,47,15
677,3597,26,14
678,3332,50,14
679,3326,27,14
680,3530,61,14
681,3336,47,15
682,3356,28,14
683,3479,61,14
684,3284,46,13
685,3474,34,11
686,3403,54,14
687,3284,53,14
688,3737,28,14
689,3310,49,14
690,3363,45,13
691,3649,28,14
692,3303,47,13
